title	user_name	user_url	tag	app_url	source_url	rscloud_url	description	slug	contest	contest_year	contest_status	contest_description	add_to_showcase	advocate_agreed	contest_url	user_community	category	requires_api_key	api_description
The Shiny LEGO mosaic creator	Eric Nantz	https://r-podcast.org	game, lego	https://rpodcast.shinyapps.io/shinylego/	https://github.com/rpodcast/shinylego	https://rstudio.cloud/project/257906	ShinyLEGO is a Shiny app that creates a mosaic composed of LEGO bricks from any image file!  Customize various settings for your mosaic such as dimensions, brightness, and colors. Best of all, you can download instructions so that you can build the mosaic yourself IRL!	lego-mosaic	yes	2019	Runner up	This app is one of the runers up of the 2019 Shiny Contest. Upload any (relatively small) image and within seconds this app will design a LEGO mosaic for you, complete with a list of required bricks and build instructions!	Yes	Yes	https://community.rstudio.com/t/25648	rpodcast	Miscellaneous	No	NA
Shrooming -  Interactive mushroom edibility predictions with XGBoost	Vladislav Fridkin	www.datastars.com.au	xgboost, machine learning, prediction	https://vfridkin.shinyapps.io/mushroom_app/	https://rstudio.cloud/project/258497	https://rstudio.cloud/project/258497	"Your task is to move the sliders under the model chart and view the effect on prediction accuracy.
(Hint: it is really easy to achieve 100% accuracy, the purpose is to explore how changing
the different model parameters affect training and validation.)

The model uses XGBoost algorithm to predict if a mushroom is edible or poisonous.
The baseline is based on the most frequent feature in the training set.
Top 10 features are listed to the right of the chart.
The data is sourced from the UCI Machine Learning repository.
(If your chart appears compressed, try resizing the browser window to knock it back into shape!)"	shroom-edibility-prediction	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25645	vfridkin	Research	No	NA
New Zealand Trade Intelligence Dashboard	Wei Zhang	NA	dashboard	https://gallery.shinyapps.io/nz-trade-dash/	https://github.com/nz-mbie/trade_intel_dashboard_public	https://rstudio.cloud/project/165107	"The New Zealand Trade Intelligence Dashboard provides up-to-date annual information on trade by commodities, services and trading partners. It presents a full picture of New Zealand?s trading profile through intuitive and interactive graphs and tables. It also provides powerful functionality enabling users to generate their own reports for different commodities, and markets or groups of markets that interest them. All figures, tables and data are downloadable. It works on both PCs and mobile devices.

The philosophy of user-centered design is executed throughout the entire UI and functionality design of the shiny app. There will be less than three clicks away for almost any of users needs.

The shiny app has the potential to be easily adapted to generate trade intelligence for other countries."	nz-trade-dash	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/21122	weizhang	Public Sector	No	NA
sdcApp - microdata disclosure control	Alexander	https:/www.statistik.at	microdata, anonimization	https://sdctools.shinyapps.io/sdcapp/	https://github.com/sdcTools/sdcMicro	https://rstudio.cloud/project/167106	This graphical user interface of sdcMicro allows you to anonymize microdata even if you are not an expert in the R programming language. Detailed information on how to use this graphical user-interface (GUI) can be found in a tutorial that is included in the sdcMicro package as vignette.	sdcapp-microdata	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/21384	alexkowarik	Research	No	NA
Nutrition Calculator - calculate nutrition for recipes	Yihan Wu	yihanwu.ca	nutrition, food, recipe	https://yihanw.shinyapps.io/Recipe_Nutrition/	https://github.com/yihanwu/Nutrient_Calculator	https://rstudio.cloud/project/256494	"Nutrient Calculator is built as a shiny dashboard where users can easily search and add multiple ingredients from the CNF database, calculate overall nutrient data such as calories and sodium, and see nutrient amounts as percentage recommended daily values. Total calorie count, nutrients amounts which surpass 100% and 50% daily value are highlighted in at the top. Macronutrients, minerals and vitamins as % daily value are visualized on separated bar graphs.
"	nutrition-calculator	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25554	yihanw	Healthcare	No	NA
A virtual lab for teaching physiology	David	http://divadnojnarg.github.io	teaching, physiology	https://rinterface.com/AppsPhysiol.html	https://github.com/DivadNojnarg/CaPO4Sim	https://rstudio.cloud/project/257646	"Explore calcium (Ca) and phosphate (Pi) homeostasis with two novel 'Shiny' apps, building upon on a previously published mathematical model written in C, 
    to ensure efficient computations. The underlying model is accessible
    at https://www.ncbi.nlm.nih.gov/pubmed/28747359.
    The first application explores the fundamentals of Ca-Pi homeostasis, 
    while the second provides interactive case studies for in-depth exploration of the topic, 
    thereby seeking to foster student engagement and an integrative understanding of Ca-Pi regulation. 
    These applications are hosted at https://rinterface.com/AppsPhysiol.html."	teach-physiology	yes	2019	Runner up	This app is one of the runers up of the 2019 Shiny Contest. If we were judging solely by ambition of vision, this submission by David Granjon would have to be our winner! The centerpiece of this app is a strikingly detailed visNetwork, but the patient simulator idea is interesting as well.	Yes	Yes	https://community.rstudio.com/t/25348	DGranjon	Education	No	NA
Crime Watch	Paul Campbell	https://www.cultureofinsight.com/	crime	https://cultureofinsight.shinyapps.io/crime-watch/	https://github.com/PaulC91/crime-watch	https://rstudio.cloud/project/192971	"This is an example of how shiny can be used to democratise a data source by connected users to an API via a simple, effective user interface.

This application uses geocoding and GPS to allow users to retrieve and map data from the UK Police data base at a location of their choice within England, Wales or Northern Ireland.

Currently the app will return data for the most recent month available in the data base. Functionality could be added to allow users to request data from previous months.

Criminal incidents within a 1 mile radius of the users chosen location are retrieved and mapped at the latitude + longitude recorded by the police. A summary count of all incidents, grouped by category, is also visualised in a bar chart."	crime-watch	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/22739	paul	Public Sector	Yes	Opencage key required for geocoding via the ropensci opencage package. Can be obtained for free here: https://opencagedata.com/pricing
Pokémon 20 Questions	Ashley Baldry	NA	game, pokemon	https://ashbaldry.shinyapps.io/Pokemon_20Q/	https://www.github.com/ashbaldry/Pokemon_20Q	https://rstudio.cloud/project/255378	This is a fun, simple app around 20 Questions, but instead of random objects, it is Pokemon. Select any one up until generation 6 and go through the questions 1 by 1 until it tries to guess the Pokemon you are thinking of. For certain details that are relevant to the quiz that might not be aware of, there is a reference table included.	pokemon-questions	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25726	ashbaldry	Miscellaneous	No	NA
Exploring large hospital data for better use of antimicrobials	Christian Luz	https://www.rug.nl/staff/c.f.luz/research	dashboard, hospital	https://ceefluz.shinyapps.io/radar/	https://github.com/ceefluz/radar	https://rstudio.cloud/project/233612	"This shiny app was developed in the context of a 1339-bed academic tertiary referral hospital to handle data of more than 180,000 admissions. Users can filter patient groups by 17 different criteria and investigate antimicrobial use, microbiological diagnostic use and results including antimicrobial resistance, and outcome in length of stay. Results can easily be stratified and grouped to compare defined patient groups based on individual patient features.

All graphs and tables as well as the filtered dataset can be downloaded in various formats. AMS teams can use RadaR to identify areas within their institutions that might benefit from increased support and targeted interventions. Diagnostic and therapeutic procedures can be assessed and analyses can easily be visualized and communicated."	hospital-data-antimicrobial	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/24743	ceefluz	Healthcare	No	NA
ExPanD: Explore Your Data Interactively	Joachim Gassen	https://joachim-gassen.github.io	eda, visualization	https://jgassen.shinyapps.io/expand_fuel_economy/	https://github.com/joachim-gassen/ExPanDaR	https://rstudio.cloud/project/231190	ExPanD allows you to interactively explore your data. It is based on the ExPanDaR package and can be used with any dataset. It allows users to explore data and to export their analysis along with the data as an R notebook. Below you find an example exploring fuel economy data.	explore-panel-data	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/24615	JoachimGassen	Research	No	NA
